solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,nt,run,walltime,steps_per_second,cell_updates_per_second
baseline,16,4x4,2050,514,514,130,20,1,0.023005108,869.372141,9.160574e+08
baseline,16,4x4,2562,642,642,162,20,1,0.022277002,897.786875,1.476683e+09
baseline,16,4x4,3074,770,770,194,20,1,0.024237603,825.164106,1.953147e+09
baseline,16,4x4,3586,898,898,226,20,1,0.022479747,889.689728,2.865004e+09
baseline,16,4x4,4098,1026,1026,258,20,1,0.022987748,870.028678,3.658077e+09
baseline,16,4x4,5122,1282,1282,322,20,1,0.025065766,797.901010,5.239340e+09
baseline,16,4x4,6146,1538,1538,386,20,1,0.026283252,760.940846,7.192830e+09
baseline,16,4x4,8194,2050,2050,514,20,1,0.028882693,692.456206,1.163167e+10
baseline,16,4x4,12290,3074,3074,770,20,1,0.036952493,541.235472,2.044758e+10
baseline,16,4x4,14338,3586,3586,898,20,1,0.041726233,479.314775,2.464448e+10
baseline,16,4x4,16386,4098,4098,1026,20,1,0.047665836,419.587732,2.817524e+10
baseline,16,4x4,20482,5122,5122,1282,20,1,0.062642458,319.272274,3.349447e+10
baseline,16,4x4,24578,6146,6146,1538,20,1,0.079382384,251.945066,3.805791e+10
baseline,16,4x4,32770,8194,8194,2050,20,1,0.127548139,156.803542,4.210448e+10
baseline,16,4x4,49154,12290,12290,3074,20,1,0.280189814,71.380182,4.312096e+10
baseline,16,4x4,65538,16386,16386,4098,20,1,0.580274532,34.466445,3.701371e+10
baseline,16,4x4,98306,24578,24578,6146,20,1,1.117439447,17.898062,4.324467e+10
baseline,16,4x4,131074,32770,32770,8194,20,1,2.119968418,9.434103,4.052225e+10
