solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,nt,run,walltime,steps_per_second,cell_updates_per_second
manual,16,16x1,2050,514,130,514,20,1,0.017634679,1134.128951,1.195032e+09
manual,16,8x2,2050,514,258,258,20,1,1.205519688,16.590355,1.748126e+07
manual,16,4x4,2050,514,514,130,20,1,0.024880014,803.858069,8.470252e+08
manual,16,2x8,2050,514,1026,66,20,1,0.019055468,1049.567505,1.105929e+09
manual,16,1x16,2050,514,2050,34,20,1,0.014448220,1384.253562,1.458588e+09
manual,16,16x1,2562,642,162,642,20,1,0.014290827,1399.499133,2.301902e+09
manual,16,8x2,2562,642,322,322,20,1,0.019711078,1014.657849,1.668913e+09
manual,16,4x4,2562,642,642,162,20,1,0.016520891,1210.588460,1.991181e+09
manual,16,2x8,2562,642,1282,82,20,1,0.017624934,1134.756022,1.866451e+09
manual,16,1x16,2562,642,2562,42,20,1,0.014440776,1384.967124,2.277999e+09
manual,16,16x1,3074,770,194,770,20,1,0.014642423,1365.894156,3.233044e+09
manual,16,8x2,3074,770,386,386,20,1,0.017937935,1114.955540,2.639077e+09
manual,16,4x4,3074,770,770,194,20,1,0.020071338,996.445778,2.358567e+09
manual,16,2x8,3074,770,1538,98,20,1,0.016506222,1211.664305,2.867985e+09
manual,16,1x16,3074,770,3074,50,20,1,0.014841949,1347.531918,3.189581e+09
manual,16,16x1,3586,898,226,898,20,1,0.015099886,1324.513311,4.265235e+09
manual,16,8x2,3586,898,450,450,20,1,0.026835514,745.281048,2.399975e+09
manual,16,4x4,3586,898,898,226,20,1,0.024676755,810.479336,2.609928e+09
manual,16,2x8,3586,898,1794,114,20,1,0.017367536,1151.573833,3.708330e+09
manual,16,1x16,3586,898,3586,58,20,1,0.015580487,1283.656923,4.133668e+09
manual,16,16x1,4098,1026,258,1026,20,1,0.015910960,1256.995178,5.285097e+09
manual,16,8x2,4098,1026,514,514,20,1,0.019025839,1051.202000,4.419829e+09
manual,16,4x4,4098,1026,1026,258,20,1,0.024517496,815.743990,3.429835e+09
manual,16,2x8,4098,1026,2050,130,20,1,0.017249748,1159.437228,4.874909e+09
manual,16,1x16,4098,1026,4098,66,20,1,0.015011711,1332.293168,5.601691e+09
