solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,nt,walltime,steps_per_second,cell_updates_per_second
manual,16,16x1,32770,8194,2050,8194,100,0.592762316,168.701682,4.529933e+10
manual,16,16x1,32770,8194,2050,8194,100,2.163108938,46.229757,1.241349e+10
manual,16,16x1,32770,8194,2050,8194,100,0.596455342,167.657145,4.501886e+10
manual,16,16x1,32770,8194,2050,8194,100,0.594685314,168.156162,4.515285e+10
manual,16,16x1,32770,8194,2050,8194,100,0.592660759,168.730591,4.530710e+10
manual,16,16x1,32770,8194,2050,8194,100,5.252536068,19.038422,5.112147e+09
manual,16,16x1,32770,8194,2050,8194,100,0.594226823,168.285907,4.518769e+10
manual,16,16x1,32770,8194,2050,8194,100,0.610234343,163.871472,4.400234e+10
manual,16,16x1,32770,8194,2050,8194,100,5.230415624,19.118940,5.133768e+09
manual,16,16x1,32770,8194,2050,8194,100,2.132709318,46.888715,1.259043e+10
manual,16,8x2,32770,8194,4098,4098,100,2.141581614,46.694461,1.253827e+10
manual,16,8x2,32770,8194,4098,4098,100,2.124630180,47.067015,1.263831e+10
manual,16,8x2,32770,8194,4098,4098,100,2.121134357,47.144585,1.265914e+10
manual,16,8x2,32770,8194,4098,4098,100,0.600664823,166.482198,4.470336e+10
manual,16,8x2,32770,8194,4098,4098,100,0.606687643,164.829466,4.425958e+10
manual,16,8x2,32770,8194,4098,4098,100,3.712710939,26.934497,7.232380e+09
manual,16,8x2,32770,8194,4098,4098,100,0.603420413,165.721938,4.449922e+10
manual,16,8x2,32770,8194,4098,4098,100,0.602446544,165.989831,4.457115e+10
manual,16,8x2,32770,8194,4098,4098,100,3.669968746,27.248188,7.316612e+09
manual,16,8x2,32770,8194,4098,4098,100,2.152877759,46.449456,1.247249e+10
manual,16,4x4,32770,8194,8194,2050,100,0.627004815,159.488408,4.282541e+10
manual,16,4x4,32770,8194,8194,2050,100,2.150682223,46.496874,1.248522e+10
manual,16,4x4,32770,8194,8194,2050,100,2.144867951,46.622917,1.251906e+10
manual,16,4x4,32770,8194,8194,2050,100,2.164176610,46.206950,1.240737e+10
manual,16,4x4,32770,8194,8194,2050,100,0.602937776,165.854594,4.453484e+10
manual,16,4x4,32770,8194,8194,2050,100,0.602099339,166.085550,4.459686e+10
manual,16,4x4,32770,8194,8194,2050,100,3.663997462,27.292595,7.328536e+09
manual,16,4x4,32770,8194,8194,2050,100,2.191321454,45.634564,1.225367e+10
manual,16,4x4,32770,8194,8194,2050,100,2.139340469,46.743378,1.255141e+10
manual,16,4x4,32770,8194,8194,2050,100,2.163301881,46.225634,1.241239e+10
manual,16,2x8,32770,8194,16386,1026,100,0.602288200,166.033470,4.458287e+10
manual,16,2x8,32770,8194,16386,1026,100,2.131119251,46.923700,1.259983e+10
manual,16,2x8,32770,8194,16386,1026,100,2.159860752,46.299281,1.243216e+10
manual,16,2x8,32770,8194,16386,1026,100,0.602697923,165.920598,4.455256e+10
manual,16,2x8,32770,8194,16386,1026,100,0.599702766,166.749273,4.477508e+10
manual,16,2x8,32770,8194,16386,1026,100,2.144247086,46.636416,1.252269e+10
manual,16,2x8,32770,8194,16386,1026,100,0.601048082,166.376040,4.467486e+10
manual,16,2x8,32770,8194,16386,1026,100,0.600887797,166.420421,4.468678e+10
manual,16,2x8,32770,8194,16386,1026,100,0.601806154,166.166463,4.461858e+10
manual,16,2x8,32770,8194,16386,1026,100,2.145248547,46.614645,1.251684e+10
manual,16,1x16,32770,8194,32770,514,100,2.119607081,47.178555,1.266826e+10
manual,16,1x16,32770,8194,32770,514,100,2.126911029,47.016541,1.262476e+10
manual,16,1x16,32770,8194,32770,514,100,0.593922205,168.372220,4.521087e+10
manual,16,1x16,32770,8194,32770,514,100,0.594479532,168.214370,4.516848e+10
manual,16,1x16,32770,8194,32770,514,100,2.127386048,47.006043,1.262194e+10
manual,16,1x16,32770,8194,32770,514,100,2.159550692,46.305929,1.243395e+10
manual,16,1x16,32770,8194,32770,514,100,0.595554692,167.910691,4.508694e+10
manual,16,1x16,32770,8194,32770,514,100,2.121062377,47.146185,1.265957e+10
manual,16,1x16,32770,8194,32770,514,100,3.728794767,26.818317,7.201184e+09
manual,16,1x16,32770,8194,32770,514,100,0.594318966,168.259816,4.518069e+10
